Age,Births
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,310
16,1167
17,3168
18,6146
19,10380
20,13749
21,16963
22,20070
23,23191
24,27093
25,31643
26,36175
27,40928
28,44745
29,47434
30,49289
31,50835
32,49006
33,45925
34,42189
35,38220
36,33501
37,27701
38,22207
39,16926
40,11731
41,7852
42,5064
43,2937
44,1739
45,995
46,584
47,327
48,231
49,151
50,10
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
