Age,2010,2011,2012,2013
0,768431,768431,768431,768431
1,777830,777830,777830,777830
2,792428,792428,792428,792428
3,798299,798299,798299,798299
4,811766,811766,811766,811766
5,834111,834111,834111,834111
6,840862,840862,840862,840862
7,826345,826345,826345,826345
8,813666,813666,813666,813666
9,812150,812150,812150,812150
10,801653,801653,801653,801653
11,780125,780125,780125,780125
12,757439,757439,757439,757439
13,736346,736346,736346,736346
14,720098,720098,720098,720098
15,704864,704864,704864,704864
16,709643,709643,709643,709643
17,730310,730310,730310,730310
18,754755,754755,754755,754755
19,779280,779280,779280,779280
20,805843,805843,805843,805843
21,826233,826233,826233,826233
22,834269,834269,834269,834269
23,854261,854261,854261,854261
24,874065,874065,874065,874065
25,892919,892919,892919,892919
26,917061,917061,917061,917061
27,919576,919576,919576,919576
28,907471,907471,907471,907471
29,907671,907671,907671,907671
30,900379,900379,900379,900379
31,892473,892473,892473,892473
32,895166,895166,895166,895166
33,884122,884122,884122,884122
34,875903,875903,875903,875903
35,878065,878065,878065,878065
36,880930,880930,880930,880930
37,883792,883792,883792,883792
38,865959,865959,865959,865959
39,819335,819335,819335,819335
40,784445,784445,784445,784445
41,785354,785354,785354,785354
42,800350,800350,800350,800350
43,814776,814776,814776,814776
44,840465,840465,840465,840465
45,877197,877197,877197,877197
46,910388,910388,910388,910388
47,914017,914017,914017,914017
48,914361,914361,914361,914361
49,925550,925550,925550,925550
50,931852,931852,931852,931852
51,937313,937313,937313,937313
52,940124,940124,940124,940124
53,938637,938637,938637,938637
54,923588,923588,923588,923588
55,903015,903015,903015,903015
56,877263,877263,877263,877263
57,844235,844235,844235,844235
58,817095,817095,817095,817095
59,798442,798442,798442,798442
60,774049,774049,774049,774049
61,745109,745109,745109,745109
62,717040,717040,717040,717040
63,702986,702986,702986,702986
64,697964,697964,697964,697964
65,681496,681496,681496,681496
66,671931,671931,671931,671931
67,678611,678611,678611,678611
68,691186,691186,691186,691186
69,714964,714964,714964,714964
70,759835,759835,759835,759835
71,695538,695538,695538,695538
72,593498,593498,593498,593498
73,579303,579303,579303,579303
74,554398,554398,554398,554398
75,502282,502282,502282,502282
76,446735,446735,446735,446735
77,426008,426008,426008,426008
78,424992,424992,424992,424992
79,410099,410099,410099,410099
80,386720,386720,386720,386720
81,359691,359691,359691,359691
82,333081,333081,333081,333081
83,303355,303355,303355,303355
84,274958,274958,274958,274958
85,253461,253461,253461,253461
86,232125,232125,232125,232125
87,206654,206654,206654,206654
88,178698,178698,178698,178698
89,150565,150565,150565,150565
90,127124,127124,127124,127124
91,106500,106500,106500,106500
92,87132,87132,87132,87132
93,70219,70219,70219,70219
94,55865,55865,55865,55865
95,43875,43875,43875,43875
96,33235,33235,33235,33235
97,22628,22628,22628,22628
98,12940,12940,12940,12940
99,7896,7896,7896,7896
100,14469,14469,14469,14469
